Date;Year;Month;Candy Bars Total Brands;Candy Bar Brand 1;Candy Bar Brand 2;Candy Bar Brand 3;Candy Bar Brand 3.1;Candy Bar Brand 3 Complete;Share Brand 1;Share Brand 2;Share Brand 3;Brand 1 Growth;Brand 2 Growth;Brand 3 Growth
2018-02-01;2018;Feb;8193.74;5745.5;1639.87;;;808.372;70;20;10;0.583137;0.68507;0.752938
2018-03-01;2018;Mar;11368.2;8052.25;2167.79;;;1148.21;71;19;10;0.401489;0.321927;0.420396
2018-04-01;2018;Apr;5924.37;3202.59;1877.32;;;844.466;54;32;14;-0.602274;-0.133994;-0.264536
2018-05-01;2018;May;7112.17;3557.08;2521.91;;;1033.19;50;35;15;0.110687;0.343359;0.223479
2018-06-01;2018;Jun;6945.19;3274.39;2621.86;;;1048.94;47;38;15;-0.079473;0.0396328;0.0152524
2018-07-01;2018;Jul;6774.37;3282.83;2537.15;;;954.382;48;37;14;0.00257902;-0.0323079;-0.0901502
2018-08-01;2018;Aug;8605.3;5071.56;2452.11;;;1081.64;59;28;13;0.544874;-0.0335208;0.133339
2018-09-01;2018;Sep;9296.9;5484.07;2616.51;;;1196.33;59;28;13;0.0813371;0.0670467;0.106034
2018-10-01;2018;Oct;9991.64;6365.48;2357.85;;;1268.3;64;24;13;0.160724;-0.0988557;0.0601588
2018-11-01;2018;Nov;8679.18;5290.89;2263.22;;;1125.08;61;26;13;-0.168816;-0.0401375;-0.112924
2018-12-01;2018;Dec;7628.96;5294.63;1569.62;;;764.721;69;21;10;0.000705973;-0.306466;-0.320294
